sexo;convive;escuela;edad;ase1;ase2;ase3;ase4;ase5;ase6;ase7;ase8;ase9;ase10;ase11;ase12;ase13;ase14;ase15;ase16;ase17;ase18;ase19;ase20;ase21;ase22;ase23;ase24;ase25;ase26;ase27;ase28;ase29;ase30;ase31;ase_total;ase_cat;bur1;bur2;bur3;bur4;bur5;bur6;bur7;bur8;bur9;bur10;bur11;bur12;bur13;bur14;bur15;bur16;bur17;bur18;bur19;bur20;bur21;bur22;bur23;bur24;bur_total;bur_cat
Mujer;Solo;Ciencias Sociales;18;3;4;4;4;4;4;3;3;4;4;3;4;3;3;4;3;4;4;3;4;4;4;3;4;3;4;4;4;4;4;4;114;Alto;0;1;1;0;0;1;1;1;0;0;0;0;1;0;1;0;0;0;0;0;1;1;4;1;14;Leve
Mujer;Con familia;Ciencias;19;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;2;2;2;2;2;2;2;85;Moderado;1;1;1;2;2;4;1;2;0;0;0;0;0;1;1;1;1;2;1;1;3;1;1;2;29;Leve
Mujer;Con familia;Ciencias;19;2;2;3;3;4;4;3;4;4;4;1;4;2;3;3;2;2;3;4;3;2;3;3;3;3;2;4;4;3;3;2;92;Moderado;2;1;2;6;2;4;2;2;1;4;0;0;2;2;5;5;4;2;2;2;6;0;2;4;62;Moderado
Mujer;Con familia;Ciencias Sociales;19;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;2;2;2;2;2;2;2;2;2;2;2;2;63;Moderado;5;5;6;5;4;5;4;4;6;5;5;6;5;4;5;5;6;5;6;6;5;2;5;4;118;Severo
Mujer;Con familia;Vocación salud;18;3;3;3;3;3;3;3;2;3;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;2;3;3;3;3;91;Moderado;2;1;1;0;3;2;3;3;0;1;0;0;3;3;3;3;0;2;3;0;2;2;2;2;41;Leve
Mujer;Solo;Vocación salud;19;3;3;3;3;3;3;3;3;3;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;4;3;4;4;98;Alto;3;3;3;3;2;3;3;2;0;0;0;0;2;1;1;1;4;1;0;0;2;1;1;2;38;Leve
Hombre;Con familia;Ciencias;19;3;3;3;3;3;3;3;3;3;4;3;3;2;3;3;3;2;3;3;3;2;3;3;3;3;2;3;3;3;3;3;90;Moderado;1;1;1;1;5;5;3;3;0;1;0;0;3;4;4;3;0;0;0;0;4;3;3;3;48;Moderado
Mujer;Solo;Ciencias;21;3;3;3;3;3;3;3;3;3;4;3;3;2;2;3;2;2;3;3;3;2;3;3;2;2;3;3;3;3;3;3;87;Moderado;3;2;1;2;3;3;3;3;0;1;0;0;3;3;3;3;2;4;3;3;5;3;3;3;59;Moderado
Hombre;Con familia;Ciencias;20;2;2;1;2;3;2;3;1;3;2;1;3;1;2;3;1;1;2;1;2;1;2;2;1;2;2;2;2;2;2;1;57;Bajo;5;6;6;5;6;6;5;5;4;5;6;6;5;6;4;5;4;5;5;6;5;5;4;5;124;Severo
Mujer;Con familia;Ciencias;20;2;3;3;3;3;3;3;2;3;3;2;3;3;3;3;3;3;3;3;3;3;3;3;2;2;3;3;2;2;3;3;86;Moderado;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;72;Moderado
Mujer;Solo;Ciencias;19;2;1;3;3;3;2;3;1;2;2;2;2;1;1;2;2;1;2;2;2;2;3;2;1;2;2;2;2;2;2;2;61;Bajo;5;6;5;6;4;5;1;5;4;5;3;5;5;5;4;6;6;5;5;5;4;5;5;4;113;Severo
Mujer;Con familia;Ciencias;18;2;2;1;2;1;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;3;1;1;2;2;4;3;4;2;4;3;63;Moderado;5;5;5;5;1;1;0;1;5;5;5;6;2;1;1;1;5;5;6;6;1;1;0;1;74;Moderado
Mujer;Solo;Ciencias Sociales;20;3;2;1;2;2;1;2;1;1;2;2;3;2;3;2;3;1;2;2;2;3;3;4;4;4;4;4;4;3;4;3;79;Moderado;3;4;5;4;1;0;0;0;6;6;5;5;1;0;1;2;5;6;5;5;1;3;1;0;69;Moderado
Mujer;Con familia;Ciencias;19;3;2;2;3;2;1;2;2;3;3;2;3;1;2;2;2;2;2;1;3;1;1;3;3;4;2;4;4;4;4;4;77;Moderado;5;5;6;5;3;3;2;3;5;5;1;5;2;2;1;1;5;3;5;6;2;3;1;1;80;Moderado
Hombre;Con familia;Ciencias;20;1;3;3;2;2;3;1;3;1;2;2;3;1;3;3;3;2;3;4;3;1;2;3;1;1;4;4;4;3;4;4;79;Moderado;2;1;3;6;3;6;5;1;0;2;6;5;2;0;4;4;2;3;1;2;4;5;4;4;75;Moderado
Hombre;Con familia;Ciencias Sociales;19;3;3;2;3;1;3;4;4;3;3;2;3;4;3;4;4;3;2;2;2;3;3;2;1;2;3;2;2;3;2;2;83;Moderado;4;5;6;4;1;0;2;1;6;4;5;6;2;1;1;2;5;6;4;5;0;2;1;0;73;Moderado
Hombre;Con familia;Vocación salud;19;2;2;2;2;3;2;3;2;3;3;3;2;2;2;2;2;2;2;2;2;2;2;2;3;2;2;2;2;2;2;2;68;Moderado;5;5;5;5;2;2;2;2;1;3;2;5;1;0;1;1;2;3;1;4;4;2;1;3;62;Moderado
Mujer;Con familia;Vocación no salud;20;2;2;3;2;2;2;2;2;3;3;2;2;2;3;2;2;2;2;2;2;2;2;2;3;2;2;2;2;2;2;2;67;Moderado;4;4;4;5;2;2;1;1;4;5;4;4;1;0;1;2;4;4;4;4;1;2;0;0;63;Moderado
Mujer;Con familia;Ciencias;18;2;3;2;2;3;2;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;3;3;2;71;Moderado;4;5;6;4;2;0;0;2;5;6;4;5;0;2;1;0;4;5;6;4;1;0;2;1;69;Moderado
Mujer;Con familia;Vocación salud;19;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;62;Moderado;6;6;6;5;4;4;4;5;5;4;6;5;4;5;4;1;6;5;6;6;5;4;4;5;115;Severo
Mujer;Solo;Ciencias;18;2;2;2;2;2;2;2;2;2;3;2;3;2;3;2;2;2;1;2;2;2;2;2;3;3;3;3;2;2;2;2;68;Moderado;4;4;4;4;2;2;2;2;5;6;2;5;5;4;5;5;4;5;5;6;4;3;3;3;94;Moderado
Mujer;Con familia;Ciencias;19;1;2;2;2;2;2;2;1;2;2;2;2;1;1;2;1;1;2;2;2;3;1;1;2;2;2;2;2;2;2;1;54;Bajo;6;5;6;6;6;5;5;5;5;5;4;6;5;5;5;5;6;6;5;6;4;4;5;5;125;Severo
Mujer;Con familia;Vocación salud;19;2;2;2;2;2;2;2;2;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;2;3;3;3;3;3;3;70;Moderado;5;6;6;6;4;1;1;0;0;0;1;0;4;5;4;5;0;0;2;1;4;6;5;4;70;Moderado
Mujer;Con familia;Ciencias;19;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;2;2;1;1;2;2;2;2;2;2;2;2;44;Bajo;6;5;0;0;5;4;5;5;0;0;0;0;5;5;5;5;6;0;0;0;5;5;5;4;75;Moderado
Mujer;Con familia;Ciencias;19;1;2;2;3;3;2;2;1;2;2;1;2;1;1;2;1;1;2;2;1;1;3;2;2;2;1;2;2;2;1;1;53;Bajo;6;5;5;6;5;6;5;5;5;6;3;5;5;5;5;5;5;5;4;5;5;5;5;4;120;Severo
Mujer;Solo;Ciencias Sociales;19;2;2;2;2;2;2;2;2;3;3;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;65;Moderado;5;6;5;6;5;4;5;5;5;6;5;5;5;5;4;5;5;5;6;5;4;5;4;5;120;Severo
Mujer;Solo;Ciencias;19;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;2;2;2;2;2;2;64;Moderado;5;5;6;6;5;5;5;5;5;1;6;1;5;1;5;5;5;5;5;5;1;1;5;5;103;Severo
Hombre;Con familia;Ciencias;19;2;2;2;2;2;2;2;2;2;2;2;3;2;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;64;Moderado;5;6;5;6;5;4;5;4;1;2;2;6;4;4;4;5;5;1;2;2;4;4;5;4;95;Moderado
Hombre;Con familia;Ciencias;19;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;2;2;3;2;3;2;65;Moderado;6;5;5;5;4;4;4;5;5;5;5;5;4;4;5;4;5;5;6;6;5;5;4;5;116;Severo
Hombre;Con familia;Ciencias;19;2;2;2;2;2;2;2;2;2;2;2;3;2;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;64;Moderado;5;6;5;6;5;4;5;4;1;2;2;6;4;4;4;5;5;1;2;2;4;4;5;4;95;Moderado
Hombre;Con familia;Ciencias;20;2;2;1;2;3;2;3;1;3;2;1;3;1;2;3;1;1;2;1;2;1;2;2;1;2;2;2;2;2;2;1;57;Bajo;5;6;6;5;6;6;5;5;4;5;6;6;5;6;4;5;4;5;5;6;5;5;4;5;124;Severo
Mujer;Con familia;Ciencias;20;2;2;2;2;2;2;2;2;3;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;64;Moderado;3;4;3;1;4;5;6;4;1;1;6;2;1;5;6;3;3;3;2;3;5;3;1;1;76;Moderado
Mujer;Con familia;Vocación salud;20;2;2;2;2;3;3;2;2;3;3;3;3;3;3;2;2;2;2;3;3;2;2;2;2;2;3;2;2;2;2;2;73;Moderado;5;4;5;5;5;5;5;5;5;6;6;6;5;5;5;5;6;5;5;5;5;4;4;4;120;Severo
Mujer;Solo;Ciencias;21;2;2;2;2;2;2;2;3;3;3;3;3;3;3;3;3;2;3;3;3;2;2;3;2;2;2;2;3;2;2;2;76;Moderado;5;5;6;5;5;4;5;4;5;5;5;6;5;5;4;4;2;5;5;5;4;4;4;4;111;Severo
Hombre;Solo;Ciencias Sociales;19;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;3;3;3;3;70;Moderado;6;6;6;6;4;4;4;4;1;2;1;2;5;4;5;4;1;2;1;2;5;4;5;4;88;Moderado
Mujer;Con familia;Vocación salud;19;3;3;2;2;2;2;3;2;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;2;2;2;2;2;67;Moderado;6;5;5;6;5;4;3;5;6;5;5;5;5;5;4;4;6;6;6;6;4;4;5;5;120;Severo
Mujer;Solo;Vocación salud;19;1;2;2;3;3;3;2;3;1;2;3;2;3;1;2;3;1;1;2;2;2;2;3;3;1;2;3;3;3;1;2;67;Moderado;5;6;4;5;5;4;4;5;5;5;3;5;4;5;4;4;5;5;6;5;4;4;3;5;110;Severo
Hombre;Solo;Ciencias Sociales;20;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;62;Moderado;5;6;5;5;4;1;4;4;5;5;5;5;4;4;4;5;5;6;5;6;5;5;4;4;111;Severo
Mujer;Con familia;Ciencias Sociales;19;3;3;2;2;3;2;2;2;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;2;2;2;2;2;2;2;67;Moderado;6;3;6;6;4;5;4;4;6;5;6;6;0;5;5;5;6;6;6;5;5;5;5;4;118;Severo
Mujer;Con familia;Vocación salud;18;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;2;63;Moderado;6;5;6;6;4;5;4;5;5;6;5;6;5;5;4;4;6;6;6;6;5;4;4;5;123;Severo
Mujer;Con familia;Ciencias Sociales;19;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;2;2;2;2;2;2;2;2;2;2;2;2;63;Moderado;5;5;6;5;4;5;4;4;6;5;5;6;5;4;5;5;6;5;6;6;5;2;5;4;118;Severo
Mujer;Solo;Ciencias Sociales;19;2;2;2;2;2;2;2;2;2;3;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;64;Moderado;6;5;6;5;3;4;5;4;5;6;6;5;2;1;1;1;5;5;5;5;3;4;4;4;100;Severo
Hombre;Solo;Ciencias;19;2;2;3;2;2;3;2;2;2;3;2;2;2;2;2;2;2;2;3;3;2;2;2;2;2;2;2;2;2;2;2;67;Moderado;5;5;6;5;4;5;4;5;5;6;5;6;5;3;3;5;6;5;5;4;5;4;4;4;114;Severo
Mujer;Solo;Ciencias;19;2;1;3;3;3;2;3;1;2;2;2;2;1;1;2;2;1;2;2;2;2;3;2;1;2;2;2;2;2;2;2;61;Bajo;5;6;5;6;4;5;1;5;4;5;3;5;5;5;4;6;6;5;5;5;4;5;5;4;113;Severo
Mujer;Con familia;Vocación salud;19;1;2;3;2;3;1;2;1;2;2;1;3;1;1;2;1;1;2;1;2;2;3;2;1;2;2;2;2;2;2;2;56;Bajo;6;5;5;5;4;5;4;5;5;5;3;5;4;4;5;5;6;5;5;5;5;4;4;5;114;Severo
Mujer;Con familia;Ciencias;19;3;3;3;2;3;3;3;2;3;3;2;3;2;3;3;2;2;2;2;2;2;3;3;3;3;3;3;3;3;3;2;82;Moderado;6;5;5;5;5;5;5;5;5;5;5;5;4;4;5;4;5;5;5;5;4;5;4;5;116;Severo
Hombre;Solo;Ciencias;18;2;2;3;3;3;3;3;2;3;3;2;3;2;2;3;2;2;2;2;2;2;3;2;2;2;1;4;2;4;3;1;75;Moderado;5;5;5;5;5;5;4;4;6;6;5;5;5;5;5;4;1;6;6;5;5;6;5;4;117;Severo
Mujer;Con familia;Ciencias;19;3;2;2;3;3;2;3;1;2;3;2;3;1;1;2;2;1;2;2;2;2;3;2;1;2;2;2;3;3;2;2;66;Moderado;5;6;5;5;5;4;5;5;4;6;3;5;4;4;5;4;6;5;5;5;5;4;4;5;114;Severo
Mujer;Con familia;Vocación salud;19;1;2;2;3;3;3;2;3;1;2;3;2;3;1;2;3;1;1;2;2;2;2;3;3;1;2;3;3;3;1;2;67;Moderado;5;6;4;5;5;4;4;5;5;5;3;5;4;5;4;4;5;5;6;5;4;4;3;5;110;Severo
Mujer;Con familia;Ciencias;19;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;63;Moderado;5;6;5;6;5;4;5;4;1;2;5;5;4;5;5;4;5;5;6;5;4;4;5;4;109;Severo
Mujer;Con familia;Ciencias Sociales;19;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;62;Moderado;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;5;5;119;Severo
Mujer;Solo;Ciencias;18;2;2;2;2;2;2;2;2;2;3;2;3;2;3;2;2;2;1;2;2;2;2;2;3;3;3;3;2;2;2;2;68;Moderado;4;4;4;4;2;2;2;2;5;6;2;5;5;4;5;5;4;5;5;6;4;3;3;3;94;Moderado
Mujer;Solo;Ciencias;23;2;2;2;3;3;2;2;1;3;2;3;3;1;1;1;2;2;2;2;2;2;3;2;1;2;2;3;2;3;2;2;65;Moderado;6;5;5;6;5;4;3;4;4;5;3;5;3;4;4;5;5;5;5;5;4;4;4;4;107;Severo
Mujer;Con familia;Vocación salud;19;3;2;3;3;3;2;2;1;2;2;2;3;1;1;2;1;1;2;2;2;1;3;2;1;2;2;3;3;2;3;2;64;Moderado;6;4;5;5;4;5;4;3;5;4;4;5;4;4;4;4;4;5;5;5;4;3;3;5;104;Severo
Mujer;Con familia;Ciencias;17;3;2;3;3;3;2;3;1;2;2;3;2;1;2;1;2;2;2;2;1;3;2;2;2;1;2;2;2;3;1;2;64;Moderado;6;4;4;5;5;5;4;3;5;6;3;6;4;4;3;4;5;6;5;5;4;3;3;4;106;Severo
